"gene_names","genes","match","rank"
"FBgn0038202__CG12402","FBgn0038202","0",372
"FBgn0034588__CG9394","FBgn0034588","0",373
"FBgn0265524__asRNA:CR44374","FBgn0265524","0",374
"FBgn0038575__CG7208","FBgn0038575","0",375
"FBgn0035649__PXo","FBgn0035649","1",376
"FBgn0038606__CG15803","FBgn0038606","0",377
"FBgn0032402__PLCXD","FBgn0032402","0",378
"FBgn0034331__BomBc2","FBgn0034331","0",379
"FBgn0013334__Sap47","FBgn0013334","1",380
"FBgn0001230__Hsp68","FBgn0001230","1",381
"FBgn0011666__msi","FBgn0011666","0",382
"FBgn0035802__Pura","FBgn0035802","0",383
"FBgn0287720__Pen","FBgn0287720","0",384
"FBgn0030040__CG15347","FBgn0030040","0",385
"FBgn0040609__CG3348","FBgn0040609","0",386
"FBgn0033368__CG13743","FBgn0033368","0",387
"FBgn0036091__CG18628","FBgn0036091","0",388
"FBgn0015584__Acp53Ea","FBgn0015584","0",389
"FBgn0004514__Oct-TyrR","FBgn0004514","0",390
"FBgn0024361__Tsp2A","FBgn0024361","0",391
"FBgn0031287__CG4291","FBgn0031287","0",392
"FBgn0004511__dy","FBgn0004511","0",393
"FBgn0035915__S-Lap1","FBgn0035915","0",394
"FBgn0264855__AP-2alpha","FBgn0264855","0",395
"FBgn0031906__CG5160","FBgn0031906","0",396
"FBgn0036970__Spn77Bc","FBgn0036970","0",397
"FBgn0027600__obst-B","FBgn0027600","0",398
"FBgn0039929__CG11076","FBgn0039929","0",399
"FBgn0032507__CG9377","FBgn0032507","0",400
"FBgn0037736__side-VII","FBgn0037736","0",401
"FBgn0034153__Acp53C14b","FBgn0034153","0",402
"FBgn0026238__gus","FBgn0026238","1",403
"FBgn0001233__Hsp83","FBgn0001233","0",404
"FBgn0005775__Con","FBgn0005775","0",405
"FBgn0032535__Ance-2","FBgn0032535","0",406
"FBgn0053194__CheA29a","FBgn0053194","0",407
"FBgn0025835__CG17707","FBgn0025835","0",408
"FBgn0040309__Prx2","FBgn0040309","1",409
"FBgn0002413__dco","FBgn0002413","1",410
"FBgn0005664__Crys","FBgn0005664","0",411
"FBgn0036314__Sf3a2","FBgn0036314","0",412
"FBgn0264721__lncRNA:CR43989","FBgn0264721","0",413
"FBgn0286507__vrs","FBgn0286507","0",414
"FBgn0050021__metro","FBgn0050021","1",415
"FBgn0046763__peg","FBgn0046763","0",416
"FBgn0003598__Su(var)3-7","FBgn0003598","1",417
"FBgn0040794__CG13056","FBgn0040794","0",418
"FBgn0039594__snu","FBgn0039594","0",419
"FBgn0264922__Sumo","FBgn0264922","1",420
"FBgn0030357__Sclp","FBgn0030357","0",421
"FBgn0038295__Gyc88E","FBgn0038295","0",422
"FBgn0028932__CG16890","FBgn0028932","1",423
"FBgn0051207__CG31207","FBgn0051207","0",424
"FBgn0264089__sli","FBgn0264089","1",425
"FBgn0264001__bru3","FBgn0264001","0",426
"FBgn0036038__defl","FBgn0036038","1",427
"FBgn0032506__CG9395","FBgn0032506","0",428
"FBgn0033028__hrm","FBgn0033028","0",429
"FBgn0034725__CG6044","FBgn0034725","0",430
"FBgn0003256__rl","FBgn0003256","1",431
"FBgn0261698__SLO2","FBgn0261698","1",432
"FBgn0038888__CheB93a","FBgn0038888","0",433
"FBgn0267408__AOX1","FBgn0267408","0",434
"FBgn0032381__Mal-B1","FBgn0032381","0",435
"FBgn0020907__Scp2","FBgn0020907","0",436
"FBgn0036778__Cyp312a1","FBgn0036778","0",437
"FBgn0038603__PKD","FBgn0038603","1",438
"FBgn0000615__exu","FBgn0000615","1",439
"FBgn0033872__CG6329","FBgn0033872","1",440
"FBgn0034816__CG3085","FBgn0034816","0",441
"FBgn0036142__Adck5","FBgn0036142","0",442
"FBgn0000024__Ace","FBgn0000024","1",443
"FBgn0261989__CG42807","FBgn0261989","0",444
"FBgn0030613__Rab3-GEF","FBgn0030613","1",445
"FBgn0036553__CG17027","FBgn0036553","1",446
"FBgn0031142__r-cup","FBgn0031142","0",447
"FBgn0037546__mAChR-B","FBgn0037546","0",448
"FBgn0039223__CG5805","FBgn0039223","1",449
"FBgn0036821__CG3961","FBgn0036821","1",450
"FBgn0033287__CG8701","FBgn0033287","0",451
"FBgn0266464__Nsf2","FBgn0266464","1",452
"FBgn0050085__Rif1","FBgn0050085","0",453
"FBgn0031239__CG17075","FBgn0031239","1",454
"FBgn0039480__Cpr97Ea","FBgn0039480","0",455
"FBgn0030990__CG7556","FBgn0030990","0",456
"FBgn0040297__Nhe2","FBgn0040297","1",457
"FBgn0039805__Cpr100A","FBgn0039805","0",458
"FBgn0036730__qjt","FBgn0036730","0",459
"FBgn0024944__Oamb","FBgn0024944","0",460
"FBgn0019828__dj","FBgn0019828","0",461
"FBgn0052699__LPCAT","FBgn0052699","1",462
"FBgn0038658__CG14292","FBgn0038658","0",463
"FBgn0263345__asRNA:CR43426","FBgn0263345","0",464
"FBgn0020255__Ran","FBgn0020255","1",465
"FBgn0051467__CG31467","FBgn0051467","0",466
"FBgn0086708__stv","FBgn0086708","1",467
"FBgn0270925__CG4836","FBgn0270925","0",468
"FBgn0033268__Obp44a","FBgn0033268","0",469
"FBgn0265101__Sgt1","FBgn0265101","1",470
"FBgn0036008__CG3408","FBgn0036008","1",471
"FBgn0027499__wde","FBgn0027499","1",472
"FBgn0002862__Mst87F","FBgn0002862","0",473
"FBgn0034515__CG13428","FBgn0034515","0",474
"FBgn0037541__CG2747","FBgn0037541","1",475
"FBgn0028582__lqf","FBgn0028582","1",476
"FBgn0031217__Creld","FBgn0031217","1",477
"FBgn0020443__eRF3","FBgn0020443","1",478
"FBgn0052278__CG32278","FBgn0052278","0",479
"FBgn0051025__Ppi1","FBgn0051025","0",480
"FBgn0028397__Tob","FBgn0028397","1",481
"FBgn0001218__Hsc70-3","FBgn0001218","1",482
"FBgn0037562__Nazo","FBgn0037562","0",483
"FBgn0040519__CG15219","FBgn0040519","0",484
"FBgn0003165__pum","FBgn0003165","0",485
"FBgn0038746__Surf6","FBgn0038746","1",486
"FBgn0035196__Bfc","FBgn0035196","0",487
"FBgn0038598__CG7131","FBgn0038598","0",488
"FBgn0032233__dpr19","FBgn0032233","0",489
"FBgn0036585__CG13071","FBgn0036585","0",490
"FBgn0019952__Orct","FBgn0019952","0",491
"FBgn0034323__CG18537","FBgn0034323","0",492
"FBgn0030394__Cpr11A","FBgn0030394","0",493
"FBgn0010051__Itpr","FBgn0010051","1",494
"FBgn0011202__dia","FBgn0011202","1",495
"FBgn0003512__Sry-delta","FBgn0003512","1",496
"FBgn0259685__crb","FBgn0259685","0",497
"FBgn0037941__CG12594","FBgn0037941","0",498
"FBgn0000541__E(bx)","FBgn0000541","1",499
